file,Number,lhs,match,rhs,subtype2,verb
wlp_1990s_iuw/fic_1993_1040078.txt,1265,"a navy suit . "" But why are we standing around ? No telling what Marie-Claire and Therese have got",into,", "" she said , and the is in her children 's names were very nearly gargled . When",ACT_SIT_STATE,GET
wlp_2000s_iey/mag_2002_388025.txt,2127,"between me and the experience . Hard Work , Good Friends The more dangerous and unpredictable the situations we get",into,", the better the photo potential . Take , for example , a Mexico surf trip gone awry when",ACT_SIT_STATE,GET
2003,1,left with me last time . Aspen had great skiing. `` `` Whatcha been,into,? `` He boasted that over the last few weeks he 'd been running scam,INTEREST,BE
wlp_1990s_iuw/fic_1999_55253.txt,2073,"art of war . ' There may be other reasons , unpaid bills or the kinds of trouble actors get",into,". <p> "" I offered him money to go south across the ocean and take the two of you",ACT_SIT_STATE,GET
wlp_2000s_iey/news_2009_646826.txt,604,five times . Six soldiers in his unit died . He lost count of the number of firefights they got,into,". <p> Yet Dunne , 25 , a father of two from Kansas City , Kan. , said the",ACT_SIT_STATE,GET
wlp_2000s_iey/mag_2007_391003.txt,1454,"@ @ @ @ @ @ @ @ . Like the Saturn , its third row was easy to get",into,". But it had a bit less space behind that seat . Luckily , the last row is a",SPACE,GET
wlp_1990s_iuw/nf_1997_746806.txt,2528,"of ecology : more rain falls in Gabon , for instance , making the mounds softer and easier to get",into,". But whatever technique they use , the chimpanzees in a given area are strongly influenced by tradition ,",SPACE,GET
wlp_2000s_iey/fic_2004_31424.txt,2459,could n't help but wonder if Ginger would have been comfortable in a bed you needed a ladder to get,into,. Ginger must have liked the color of champagne since the whole room was done in delicate tones of,SPACE,GET
wlp_1990s_iuw/fic_1993_25035.txt,546,the hotel . He had to be ready to move as soon as he saw which car Richie Blossom got,into,. Hurriedly he picked at his dinner and ordered coffee . It might be a long night . When,SPACE,GET
wlp_2000s_iey/mag_2003_407492.txt,1609,"our favorite activities list . But as your dentist would cheerfully offer , it 's a great habit to get",into,". When the stomach is weak , the lower back tends @ @ @ @ @ @ @ @",ACT_SIT_STATE,GET
wlp_1990s_iuw/news_1990_649904.txt,2465,"me , "" I ca n't say I know , but I do n't doubt there are people who get",into,"' polygraph purgatory . ' "" He is considering looking into that in the next session ; if you",ACT_SIT_STATE,GET
